orð	samheiti	samþykkt	hafnað
smávaxinn	lágvaxinn	4	2
snjall	klókur	2	0
snjall	klár	2	0
snúinn	flókinn	7	0
snúinn	erfiður	4	0
snúinn	torveldur	2	0
snyrta	punta	2	1
sparisjóður	peningastofnun	2	0
sparisjóður	banki	1	2
spil	þraut	2	0
spil	borðspil	3	1
spil	leikur	9	0
spil	spjald	3	3
spila	leika	4	0
spilari	leikmaður	1	0
spjalla	tala	2	0
spjalla	eiga samtal	3	3
spjalla	ræða	9	0
splæsa	bjóða	1	0
splæsa	blæða 	2	3
splæsa	borga	4	0
splunkunýr	nýr	4	0
splunkunýr	nýlegur	2	4
sprund	man	2	1
sprund	stúlka	2	1
sprund	stelpa	3	1
sprund	gella	2	2
sprund	drós	2	1
staða	aðstæður	2	2
staða	status	1	1
staðfesta	gúddera	2	2
staðfesta	samþykkja	5	2
staður	bær	10	2
staður	stæði	6	3
staður	svæði	5	1
staður	rými	6	1
staður	pláss	5	0
starf	atvinna	1	1
starf	djobb	3	2
starf	vinna	6	1
starf	verkefni	0	2
starfa	gera	2	2
starfa	vinna	2	1
starfa	iðka	1	0
status	staða	2	0
stefna	leið	3	0
stefna	átt	2	1
stefni að	ætla	1	0
stefni að	áætla	0	1
stelpa	stúlka	1	0
stelpa	mær	0	1
sterkur	öflugur	3	0
sterkur	aflmikill	3	0
sterkur	hraustur	1	1
sterkur	kraftmikill	3	0
stígur	stígur	6	1
stígur	gata	3	1
stígur	slóði	5	0
stígur	tröð	4	0
stjórna	stýra	1	0
stoppa	stöðva	1	0
stoppa	stansa	2	0
stór	frægur	1	6
stór	risavaxinn	8	5
stór	risastór	5	4
stór	hár	5	1
stór	risalegur	2	7
stór	voldugur	4	2
stór	gríðarstór	6	2
stór	hávaxinn	8	2
stór	feitur	1	3
stórkostlegt	æðislegt	1	0
stórkostlegt	magnað	1	0
stræti	gata	1	1
stríð	óvild	1	4
stríð	árás	3	0
stubbur	snáði	3	1
stubbur	trítill	6	1
stubbur	stuttur	2	0
stubbur	kubbur	1	2
stúlka	táta	2	0
stúlka	sprund	3	0
stúlka	snót	2	0
stúlka	telpa	3	0
stúlka	stelpa	2	0
stúta	kála	3	0
stúta	myrða	3	1
stúta	aflífa	7	1
stúta	drepa	7	0
stýra	stjórna	2	0
svalur	kaldur	2	0
sýna	birta	3	1
sýna	benda á	4	1
sýna	lýsa	3	2
sýna	teikna upp	2	3
sýna	sanna	2	2
takast	ná	1	1
takast	afreka	1	2
tala saman	rabba	2	0
tala saman	samræður	1	1
tala saman	ræða saman	1	0
tala saman	rabba saman	2	0
tala saman	ræða	2	0
tala saman	spjalla	2	0
tala um	diskútera	2	0
tala um	skeggræða	3	2
tala um	spjalla um	4	0
tala um	ræða	4	1
teikna	sketsa	1	1
teikna	draga upp	1	0
teikna	rita	0	3
teikna	draga	0	1
teikna upp	skissa	1	1
teymi	hópur	2	0
teymi	lið	6	0
tík	mella	0	1
tík	tussa	0	1
tík	belja 	0	2
tímabil	bil	4	1
tónverk	lagasmíð	3	0
tónverk	lag	1	1
torleystur	illskiljanlegur	4	1
torleystur	þungur	1	0
torleystur	erfiður	8	0
torleystur	snúinn	4	0
torleystur	flókinn	7	1
torveldur	strembinn	1	0
trítill	stubbur	2	0
trítill	lítill	2	1
trítill	tittur	2	0
trítill	smár	1	0
trítill	nettur	2	3
trítla	laumast	2	2
trítla	læðast	2	0
trítla	tipla	1	1
trítla	tippla	1	1
trítla	ganga	2	2
trítla	labba	1	1
trítla	rölta	1	0
tróna	hreykja sér	0	1
trúa	álita	1	2
trúa	sannfæring	3	3
trúa	skoðun	2	3
trúa	hyggja	6	4
tryppi	unghross	1	0
tryppi	hestur	1	2
tryppi	jór	2	2
tryppi	klár	1	1
tuða	rexa	1	0
tuða	nöldra	1	0
tunna	fata	0	1
tunna	bali	0	1
tunna	dós	0	1
tunna	grill	0	2
tusk	átök	0	1
umfjöllun	frásögn	0	1
umfjöllun	kynning	1	2
umfjöllun	umræða	0	3
umfjöllun	frétt	0	1
umfjöllun	grein	0	1
umfjöllun	fréttaskýring	0	2
umræða	diskúrs	0	1
ungi	afkvæmi	4	0
ungi	barn	0	3
ungi	snáði	0	2
ungviði	afkvæmi	0	1
ungviði	ungi	1	1
uppfræða	aðstoða	2	3
uppfræða	segja til	2	0
uppfræða 	leiðsegja	1	0
uppfræða 	útskýra	1	0
uppfræða 	fræða	1	0
uppfræða 	kenna	1	0
uppfræða 	leiðbeina	2	1
uppgvöta	finna út	1	2
uppgvöta	fatta	3	0
uppgvöta	gera sér ljóst	2	1
uppgvöta	finna upp	2	1
uppgvöta	finna	3	1
upphæð	summa	4	0
upphæð	fúlga	1	1
uppkast	drög	2	0
útkoma	niðurstaða	0	1
valda	ráða	4	1
valda	geta	3	0
valdamikill	kúkur	0	1
valdamikill	virtur	0	2
valdamikill	áhrifamikill	0	1
valdamikill	mikilvægur	0	3
valdamikill	voldugur	2	1
varðveita	geyma	1	0
vegur	akbraut	5	0
vegur	braut	2	0
vegur	stígur	5	1
vegur	gata	7	1
vegur	leið	1	0
vegur	slóð	4	2
veita	láta fá	5	1
veita	afhenda	1	1
veita	bjóða	5	0
veita	rétta	5	2
veita	gefa	1	0
veita	færa	1	2
veraldarmaður	heimsborgari	2	1
verða	ná	0	1
verðlaun	uppskera	7	2
verðlaun	vinningur	3	2
verðlaun	sigurlaun	4	0
verkefni	atriði	0	1
verkefni	vinna	4	0
verkefni	erindi	1	4
viðureign	slagur	2	1
viðureign	orrusta	2	2
viðureign	stríð	1	2
viðureign	átök	3	0
viðureign	einvígi	2	2
viðureign	bardagi	2	1
viðureign	keppni	4	0
viðureign	spil	2	4
viðureign	návígi	2	3
viðureign	leikur	1	2
vilja	gera	0	2
vilja	þrá	5	1
vilja	sækjast eftir	3	2
vilja	vonast til	1	4
vinna	framkvæma	4	0
vinna	sigra	7	0
vinna	starfa	8	0
vinna	starf	4	2
vinna	atvinna	3	0
vinna	afkasta	2	1
vinningur	sigur	3	4
vinningur	verðlaun	8	1
vinningur	sigurlaun	4	0
virða	skoða	4	1
virða	horfa	3	2
virða fyrir sér	skoða	6	0
virða fyrir sér	pæla	1	4
virða fyrir sér	kaga	1	0
virða fyrir sér	skima	1	0
virða fyrir sér	velta fyrir sér	0	2
virða fyrir sér	kanna	1	0
vita	þekkja	3	1
vita	kunna	1	1
vita	skilja	0	3
vitiborinn maður	vitringur	5	2
vitiborinn maður	gáfumenni	5	1
vitiborinn maður	vitsmunavera	3	2
vitiborinn maður	klár	1	1
vitiborinn maður	gáfumaður	3	0
vitiborinn maður	gáfaður	3	2
vitiborinn maður	snillingur	2	2
vitiborinn maður	skarpur	2	3
vitringur	spekingur 	3	0
vitringur	fróði	2	0
vitringur	fræðingur	3	3
vitringur	gáfumenni 	3	1
vöðvastæltur	massaður	1	0
voldugur	áhrifamikill	3	1
voldugur	valdamikill	6	0
vonast til	langa til	1	0
vonast til	vilja	4	3
vonast til	þrá	3	2
yfirtaka	kaupa	6	4
yfirtaka	eignast	3	0
ýta	hrinda	0	1
þátttakandi	meðlimur	2	0
þátttakandi	félagi	1	3
þáttur	aðild	2	1
þáttur	kafli	3	1
þekktur	kunnur	3	0
þekktur	frægur	4	0
þekktur	heimsfrægur	4	1
þekktur	landsfrægur	8	2
þekktur	kunnugur	1	0
þekktur	viðfrægur	3	0
þjóð	þjóðflokkur	9	3
þjóð	almenningur	9	3
þrá	þurfa	0	2
þrá	langa í 	3	0
þrá	vilja	3	3
þrá	óska	0	1
þrá	langa	1	0
þræta	rífast	0	2
þræta	þrátta	1	0
þræta	tuða	2	2
þrútin	bjúguð	0	1
þrútin	bólginn	1	0
þungur	í yfirvigt	1	0
þungur	erfiður	1	0
þybbin	þrútin	0	2
þybbin	feit	2	0
þybbin	þykk	3	0
þybbin	í ofþyngd	0	1
þykk	bústin	1	0
þykk	breið	0	1
þykk	sver	2	0
þykkur	breiður	1	1
