nett	1.75	12
níðingur	5.75	8
nirfill	6.62	13
nískur	5.08	12
nöldurseggur	5.15	13
nýfasisti	4.5	10
nýnasisti	4.9	10
ofbeldismaður	6.5	10
öfgafeminísti	3.23	13
öfgaþjóðernissinni	5.89	9
ófreskja	5.08	12
ofsatrúarmaður	5.71	17
ofstæki	7.17	12
ógæfufólk	6.09	11
ógeðslega	1.75	8
ógeðslegur	3.11	9
óheiðarlegur	6.3	10
óhugnanlegt	5.2	15
ok	2.5	10
okay	0.23	13
ókei	1.09	11
óknyttastrákur	8.09	11
ökufantur	5.12	8
ökutæki	5.62	8
ökuþór	6.69	13
ölvaður	5.9	10
ormétinn	6.1	10
pæla [í einhverju]	2.0	7
parket	4.6	5
partí	2.2	10
partý	1.89	9
perri	1.21	14
píka	5.22	9
piss	2.91	11
pissa	3.25	8
pitsa	3.3	10
pítsa	4.36	11
pizza	2.82	11
plebbi	1.22	9
plís	0.25	12
pöddufullur	1.9	10
pönkari	3.17	6
popp	2.8	10
popúlisti	2.57	7
prins	5.17	12
pungur	4.44	9
ræfill	4.27	15
raggeit	5.78	9
rasískur	4.6	10
rasisti	2.75	8
rass	3.83	12
rassgat	2.7	10
reffilegur	5.29	7
réttdræpur	7.43	7
ríða	3.67	12
rógburður	8.0	9
róni	2.46	13
rótari	2.43	7
ruddalegur	4.64	11
ruddi	4.36	11
ruglukollur	3.64	14
rúnka	2.67	9
rúsínurassgat	1.5	10
sæði	5.07	14
sætindi	5.73	11
sannkristinn	7.5	8
sauðheimskur	4.89	9
screenshotta	0.69	13
seksí	0.8	10
sexí	0.12	8
sexy	0.27	15
shit	0.33	12
sick	0.38	13
sifjaspell	7.57	7
sikk	0.57	7
sirka	1.91	11
sjálfrennireið	8.82	11
sjitt	0.0	5
sjúklega	2.33	9
skæla	3.43	7
skammel	5.0	7
skapstór	5.55	11
skapstyggur	5.88	8
skemill	6.08	12
skenkja	6.83	12
skita	2.12	16
skíta	2.42	12
skíthæll	2.86	7
skítsama	1.86	7
skítur	3.22	9
skrattinn	4.3	10
skrímsli	4.67	12
skrínsjotta	1.27	11
skúlptúr	5.78	9
slanga	5.0	6
slikkerí	2.33	9
slompaður	3.14	7
smáglæpamaður	5.08	12
snákur	5.33	6
snar	3.12	8
snargeggjaður	3.0	9
snarklikkaður	2.7	10
snaróður	5.0	6
sorakjaftur	2.86	7
sorrí	0.45	11
sorrý	0.67	15
sótölvaður	4.85	13
spéhræddur	5.82	11
spekúlera	4.4	10
spikaður	4.0	9
spíttaður	1.47	15
splæsa	2.08	13
spræna	4.8	5
stelpuræfill	3.38	8
stelsjúkur	4.0	9
straff	2.09	11
strákskratti	4.14	14
stríðinn	4.38	8
stríðnispúki	3.09	11
ströggla	1.23	13
sturlaður	2.67	12
stytta	4.09	11
sultuslakur	1.1	10
sumtíðis	7.2	10
svekk	0.75	12
svekkelsi	4.18	11
sver	6.25	12
svertingi	1.45	11
svinnur	7.88	8
svívirða	7.71	7
svívirðing	6.92	13
syfjaður	5.75	8
tagga	0.6	10
téður	8.1	10
tepra	6.25	8
tignarlegur	6.58	12
tík	3.19	16
tíkarlegur	3.4	10
timbraður	4.46	13
tísta	4.18	11
tittlingur	2.75	8
tjilla	0.33	9
tjillaður	0.25	8
töff	1.56	9
töffari	1.67	9
tölvupóstur	5.11	9
treggáfaður	5.75	8
tröllheimskur	5.22	9
trúleysingi	5.7	10
trunta	2.83	6
tussa	0.62	16
tvíta	1.2	15
tweeta	0.31	13
typpalingur	1.6	10
typpi	4.75	8
uppdópaður	3.75	8
úthrópa	6.78	9
útúrdrukkinn	3.83	12
væla	3.7	10
vælukjói	3.57	14
vændi	4.11	9
vænisjúkur	7.33	9
vandræðaunglingur	6.17	6
vargur	5.17	6
velsæmisbrot	8.4	10
verkjaður	4.22	9
vesalingur	6.11	9
viðbjóðslega	2.83	6
viðbjóðslegur	3.0	8
viðskotaillur	7.09	11
viðurstyggilegur	6.9	10
villingur	4.23	13
villutrúarmaður	6.8	5
víma	5.5	6
vímaður	6.2	10
vímuefni	7.58	12
vitfirringur	6.36	11
vitlaus	4.0	11
vitleysingur	3.5	12
vitund	6.67	9
vitur	6.33	12
vöðvabúnt	2.75	8
vondur	4.44	9
